,Open,Close,High,Low,Volume,NumOfTrade
149,54716.47,57274.88,57445.05,53256.64,36163.7137,1253408.0
150,57274.89,57776.25,58865.97,56666.67,40125.28009,1349625.0
151,57776.25,56950.56,59176.99,55875.55,49161.05194,1587472.0
152,56950.56,57184.07,59053.55,56458.01,44956.63656,1442301.0
153,57184.07,56480.34,57375.47,55777.77,37574.05976,1307890.0
154,56484.26,53601.05,57600.0,51680.0,58927.69027,1865063.0
155,53601.05,49152.47,53859.1,42000.3,114203.373748,3362771.0
156,49152.46,49396.33,49699.05,47727.21,45580.82012,1371839.0
157,49396.32,50441.92,50891.11,47100.0,58571.21575,1741956.0
158,50441.91,50588.95,51936.33,50039.74,38253.46877,1212350.0
159,50588.95,50471.19,51200.0,48600.0,38425.92466,1118225.0
160,50471.19,47545.59,50797.76,47320.0,37692.68665,1130599.0
161,47535.9,47140.54,50125.0,46852.0,44233.57391,1215231.0
162,47140.54,49389.99,49485.71,46751.0,28889.19358,957390.0
163,49389.99,50053.9,50777.0,48638.0,26017.93421,863605.0
164,50053.9,46702.75,50189.97,45672.75,50869.52093,1399599.0
165,46702.76,48343.28,48700.41,46290.0,39955.98445,1194992.0
166,48336.95,48864.98,49500.0,46547.0,51629.181,1438176.0
167,48864.98,47632.38,49436.43,47511.0,31949.86739,1023983.0
168,47632.38,46131.2,47995.96,45456.0,43104.4887,1261780.0
169,46133.83,46834.48,47392.37,45500.0,25020.05271,862066.0
170,46834.47,46681.23,48300.01,46406.91,29305.70665,874827.0
171,46681.24,46914.16,47537.57,45558.85,35848.50609,1076488.0
172,46914.17,48889.88,49328.96,46630.0,37713.92924,1119412.0
173,48887.59,48588.16,49576.13,48421.87,27004.2022,949480.0
174,48588.17,50838.81,51375.0,47920.42,35192.54046,1176050.0
175,50838.82,50820.0,51810.0,50384.43,31684.84269,1075177.0
176,50819.99,50399.66,51156.23,50142.32,19135.51613,766979.0
177,50399.67,50775.49,51280.0,49412.0,22569.88914,797133.0
178,50775.48,50701.44,52088.0,50449.0,28783.57561,1008993.0
179,50701.44,47543.74,50704.05,47313.01,45853.33924,1345774.0
180,47543.74,46464.66,48139.08,46096.99,39498.87,1114074.0
181,46464.66,47120.87,47900.0,45900.0,30352.29569,910157.0
182,47120.88,46216.93,48548.26,45678.0,34937.99796,1059783.0
183,46216.93,47722.65,47954.63,46208.37,19604.46325,714899.0
184,47722.66,47286.18,47990.0,46654.0,18340.4604,709624.0
185,47286.18,46446.1,47570.0,45696.0,27662.0771,885624.0
186,46446.1,45832.01,47557.54,45500.0,35491.4136,1021815.0
187,45832.01,43451.13,47070.0,42500.0,51784.11857,1478532.0
188,43451.14,43082.31,43816.0,42430.58,38880.37305,1150707.0
189,43082.3,41566.48,43145.83,40610.0,54836.50818,1406635.0
190,41566.48,41679.74,42300.0,40501.0,32952.73111,1021908.0
191,41679.74,41864.62,42786.7,41200.02,22724.39426,752733.0
192,41864.62,41822.49,42248.5,39650.0,50729.17019,1250983.0
193,41822.49,42729.29,43100.0,41268.93,37296.43729,1015526.0
194,42729.29,43902.66,44322.0,42450.0,33943.2928,1023902.0
195,43902.65,42560.11,44500.0,42311.22,34910.87762,1036234.0
196,42558.35,43059.96,43448.78,41725.95,32640.88292,946938.0
197,43059.96,43084.29,43800.0,42555.0,21936.05616,752688.0
